trade_date,classification,total_pnl,total_volume,avg_trade_size
2025-03-07,fear,90679.466265,4377066.68,4622.034508975712
2025-03-08,fear,17473.115371,512381.42,2152.8631092436976
2025-03-09,fear,3419.205996,1204638.86,2737.815590909091
2025-03-10,extreme fear,7995.293132000001,6346737.96,6716.124825396825
2025-03-11,extreme fear,-19426.117029,6159066.32,2665.108749459109
2025-03-12,fear,293234.208015,8957541.62,2948.4995457537852
2025-03-13,neutral,3738.3624320000004,893460.3099999999,7977.324196428571
2025-03-14,fear,66559.00085,4540590.22,2250.044707631318
2025-03-15,neutral,75369.725117,268302.64,4004.517014925373
2025-03-16,fear,68.893927,856619.67,5867.258013698631
2025-03-17,fear,7066.215779,1131600.8,3270.522543352601
2025-03-18,fear,68890.59799,957809.52,7482.886875
2025-03-19,fear,20122.495172,2355650.02,5542.705929411764
2025-03-20,neutral,5336.321512,389314.83999999997,2666.54
2025-03-21,fear,0.0,180004.35,30000.725000000002
2025-03-22,fear,4520.92947,361074.3,4150.2793103448275
2025-03-23,fear,134.82844,40134.54,4013.454
2025-03-24,neutral,45351.572915,882896.8200000001,7063.17456
2025-03-25,neutral,738.445836,382221.82,7644.4364000000005
2025-03-26,neutral,6175.693754,836785.97,4836.913121387283
2025-03-27,fear,23800.189789,2090222.74,6786.437467532467
2025-03-28,fear,2812.4077939999997,1069537.46,2898.4755013550134
2025-03-29,fear,-4164.592801,1870620.66,2352.9819622641508
2025-03-30,fear,3.492534,1063685.46,2954.681833333333
2025-03-31,fear,4067.911999,1167842.64,4156.023629893238
2025-04-01,fear,1534.8020319999998,348268.22000000003,7409.962127659575
2025-04-02,fear,188440.462883,2917170.6,3697.3011406844107
2025-04-03,fear,6187.240167,5236686.29,5069.396214908035
2025-04-04,fear,16593.740766,1274075.53,2558.3845983935744
2025-04-05,fear,2441.479757,436817.09,7403.679491525424
2025-04-06,fear,4605.577928,1771579.28,3023.172832764505
2025-04-07,extreme fear,-27270.190584,2938746.91,5854.07750996016
2025-04-08,extreme fear,25747.265104,2777868.13,9048.43039087948
2025-04-09,extreme fear,-6765.930387999999,2855203.1999999997,7843.964835164835
2025-04-10,fear,37708.824497,8891929.03,22568.347791878172
2025-04-11,fear,8490.55473,2587928.89,25125.523203883495
2025-04-12,fear,398996.948591,52254963.06,35644.58598908595
2025-04-13,neutral,8043.192541,9163398.86,27110.647514792898
2025-04-14,fear,17995.009275,9063069.4,29714.981639344263
2025-04-15,fear,48510.968923,18601861.01,22358.006021634617
2025-04-16,fear,57757.263262,35131699.79,30844.336953467955
2025-04-17,fear,1579.707825,1129474.05,4628.992008196721
2025-04-18,fear,44823.972322,23015578.75,19406.052908937607
2025-04-19,fear,64926.588321,28113183.7,21201.49600301659
2025-04-20,fear,16370.26819,9322970.96,9803.334342797056
2025-04-21,fear,31086.510405999994,40517117.43,35448.04674540682
2025-04-22,neutral,76426.431186,26536523.1,31933.240794223828
2025-04-23,greed,38850.135167,13576458.3,13727.460364004046
2025-04-24,greed,41206.056841,33184425.27,22241.57189678284
2025-04-25,greed,19008.012331,26858543.3,24892.069786839667
2025-04-26,greed,-808.4183190000001,11453942.58,12628.3821168688
2025-04-27,greed,504.774376,230062.85,1411.428527607362
